index,description
217,17162,"Lichtschranken bestehen aus einer Lichtquelle und einem lichtempfindlichen elektrischen Bauteil (eine sogenannte Fotodiode), das einen Stromkreis unterbrechen oder schließen kann, sobald Licht auf das Bauteil fällt. Damit können Tresore geschützt, Uhren gestartet und gestoppt werden und Motoren von Türen ausgeschaltet werden, wenn eine Person den Lichtweg unterbricht. Auch Rauch scheint die Lichtschranke zu aktivieren.   Licht breitet sich sehr schnell aus. Überlege, warum diese Eigenschaft für die Verwendung von Lichtschranken sehr wichtig ist."
218,17164,"Erkläre, wieso es scheint, als sei der Bleistift unter der dicken Glasplatte in drei Teile zerbrochen."
219,17166,Zähle die im Text genannten fossilen Brennstoffe auf.
220,17167,Beschreibe den Unterschied zwischen einer festen und einer losen Rolle.
221,17168,"Begründe, warum man zum Heben von schweren Lasten lose Rollen verwendet."
222,17169,Nenne das Formelzeichen und die Einheit des elektrischen Widerstands.
223,17170,"Du möchtest den Widerstand einer Experimentierlampe bestimmen. Beschreibe, wie du vorgehst."
224,17171,"Beschreiben Sie zwei unterschiedliche Experimente, durch die sich mit Hilfe eines 1 kg -Massestücks der Ortsfaktor eines fremden Planeten bestimmen lässt."
225,17172,Beschreiben Sie das Hochschleudern von Gegenständen mit Hilfe eines Federkatapults aus energetischer Sicht. Skizzieren Sie das zugehörige Energiekontenmodell.
226,17173,Nennen Sie die Merkmale einer harmonischen Schwingung.
227,17180,Nenne drei unterschiedliche Bewegungsarten.
228,17181,Ein Auto fährt mit einer Geschwindigkeit von 108 km h . Gib seine Geschwindigkeit in m s an.
229,17182,Ein Fußgänger legt in 10 Sekunden 20 Meter zurück. Gib seine Geschwindigkeit in km/h an.
230,17183,"Erläutern Sie, wodurch sich die „Unsicherheit“ eines klassischen Messergebnisses von der „Unbestimmtheit“ von Vorhersagen für Quantenobjekte unterscheidet."
231,17184,Deine elektrische Taschenlampe ist kaputt. Nenne drei mögliche Ursachen dafür.
232,17185,"Auf dem Foto ist zu sehen, dass ein wassergefülltes Weinglas ein Bild erzeugen kann. Erkläre seine Entstehung. Nenne die Eigenschaften des Bildes. Vergleiche mit einer Sammellinse."
233,17186,"Eine Fahrradfahrerin hat eine Geschwindigkeit von 25 km h . Berechne, welche Zeit sie benötigt, um einen Weg von 120 Metern zurückzulegen."
234,17187,"Wenn eine Kaffeemaschine an die Steckdose angeschlossen ist, fließt eine Stromstärke von 3 , 5 A durch das Gerät. Berechne den elektrischen Widerstand."
235,17188,"In manchen Ländern Südamerikas beträgt die Spannung an der Steckdose nur 110 V . Berechne die Stromstärke, die dort durch den Heizdraht eines Haartrockners ( 50 Ω ) fließt."
236,17189,Vergleichen Sie Größe und Masse der Sonne mit der Erde.
237,17193,"Leila führt ein einen Trick vor: Sie legt eine 5-Cent-Münze und eine 10-Cent-Münze auf den Tisch. Dann bewegt sie etwas unter dem Tisch im Kreis. Solange die Bewegung anhält, bewegt sich auch die 5-Cent-Münze im Kreis, die 10-Cent-Münze bleibt jedoch liegen. Erkläre."
238,17196,"Die magnetische Flussdichte B mancher handelsüblicher Neodym-Magnete beträgt an ihrer Oberfläche etwa 0 , 1 T .   Schätzen Sie ab, ob diese Flussdichte mit Hilfe des empfindlichsten schulüblichen Kraftmessers (Auflösung: 0 , 1 m N ) gemessen werden kann. Begründen Sie Ihre Entscheidung."
239,17197,"Eine Person der Masse m = 80 k g springt aus einer Höhe von 1 , 20 m in ein Trampolin ( D = 6000 N / m ). Berechnen Sie, wie weit sich das Trampolin dehnt."
240,17199,Ein Bagger soll auf einen Tieflader verladen werden. Entwickle eine praktikable Lösung und stelle sie vor.
241,17200,Nenne Beispiele für den Einsatz von Zahnrädern.
242,17201,"Beschreibe, was Jens falsch gemacht hat."
243,17202,"Janina fährt auf eine Kreuzung zu. Wenn ein Auto von rechts kommt, muss sie ihm die Vorfahrt lassen. Ein Auto kann sie 1 s vorher sehen und sie hat dann noch 5 m bis zur Kreuzungsmitte. Sie durchfährt die Kreuzung mit 20 km h . Sie sagt: „Rechtzeitig bremsen kann ich ja immer noch.“ Bewerte ihre Fahrweise."
244,17203,"Recherchiere, wie die Geschwindigkeitsmessung mit einer Laser-Pistole funktioniert. ."
245,17204,"Ein Auto hat eine Geschwindigkeit von 50 km h . Berechne, welchen Weg das Auto in einer Sekunde zurücklegt."
246,17206,Beurteile folgende Aussage und stelle sie richtig: „Magnete ziehen Gegenstände aus Metall an.“
247,17207,"Beschreibe und begründe, wie du ein Amperemeter anschließen musst."
248,17208,"Elektrische Geräte haben meist nur ein Kabel, das sie mit der elektrischen Quelle verbindet. Erläutere, warum es sich trotzdem um einen geschlossenen Stromkreis handelt."
249,17209,"Leitungswasser leitet den elektrischen Strom.   Destilliertes Wasser leitet den Strom sehr schlecht. Stelle eine Hypothese auf, was destilliertes Wasser ist."
250,17210,Im Haushalt sind alle elektrischen Geräte parallel geschaltet. Begründe dies.
251,17212,"In der Waschmaschine und der ­Mi­krowelle sind UND-Schaltungen eingebaut. Gib an, wo sich die Schalter befinden. Nenne weitere Elektrogeräte im Haushalt, die eine UND-Schaltung haben."
252,17213,"Nenne drei Geräte, die unterschiedliche Wirkungen des elektrischen Stromes nutzen."
253,17218,"Plane und beschreibe ein Experiment, mit dem du nachweisen kannst, dass Elektromagnete Pole haben."
254,17223,Eine Mondfinsternis kann es nur bei Vollmond geben. Begründe dies.
255,17224,"Bei einer totalen Mondfinsternis kann man statt eines komplett verdunkelten Mondes einen tiefroten Mond beobachten, der auch Blutmond genannt wird. Recherchiere den Ursprung seiner Farbe."
256,17247,"Begründe, warum eine Treppe auch eine schiefe Ebene ist."
257,17268,"In diesen Texten kommen drei unterschiedliche Begriffe vor: Wärme, Temperatur und thermische Energie. Erkläre (mithilfe des Teilchenmodells) die Unterschiede zwischen diesen Begriffen."
258,17304,Ein Gegenstand aus Eisen wird sowohl vom Nord- als auch vom Südpol eines Magnets angezogen. Erläutere dies mit Hilfe der Vorstellung von den Elementarmagneten.
259,17313,"Begründe, dass es keine Magnete gibt, die nur einen Nordpol, aber keinen Südpol haben."
