,documentId,language,title,description,context,topic,hints,solutionSteps,replacements,resource,sampleSolutions,stepifier,word_count
1783,8lHjgtB0xTd64i6kKAk7um,EN,Ziel 3: Ich kann über Werte und Normen sprechen. (generative),Who gives better advice – friends or parents? Give your opinion.,,,[],"['The question is ‘Who gives better advice - friends or parents?’. On the one hand, friends can give great advice because they know you best. They often have the same problems. On the other hand, your parents want to help you. Your friends are younger and understand you better. However, your parents are older and have more life experience. In my opinion you should listen to your friends and to your parents because both can give you great advice.']",,,"['""The question is ‘Who gives better advice - friends or parents?’. On the one hand, friends can give great advice because they know you best. They often have the same problems. On the other hand, your parents want to help you. Your friends are younger and understand you better. However, your parents are older and have more life experience. In my opinion you should listen to your friends and to your parents because both can give you great advice.""']",SENTENCE,11
1784,4vdaaOoffGh7RjfLJ4VA2w,EN,COMPREHENSION (generative),Describe Esperanza and the relevance her name has for her. Turn your findings into two or three questions and have your partner answer them.,,,[],['None'],,,"['"" Esperanza and her name Esperanza appears to be reflecting, critical, aware of the role many societies attribute to women e.g. that of the weak, the subordinate. Her reflective, introspective character also shows in her take on her name as well as in the fact that she wants to change it. Nobody sees the real Esperanza. Zeze the X is short (uncomplicated?) and sounds more American (“the X”). Zeze the X is the version of Esperanza who does not belong in the barrio (X = the outsider). She does not have to have a long name to know that she does not belong. Esperanza seems to be strong and proud as she does not want to follow in her great-grandmother’s footsteps (who eventually gave in). Possible solutions Do you think Esperanza is happy? Do you think Esperanza is popular at school? What name other than ‘Zeze the X’ would fit Esperanza? Why? What do you associate with that name?""']",SENTENCE,24
1785,9z30Sax5D8r6COOJHZtLO1,DE,Praet_regelm_L4_Ue01 (Copy),Schreibe den Satz im Präteritum. Gestern - erzählen - ich - eine Geschichte.,,,[],['Gestern erzählte ich eine Geschichte.'],,,[''],KEYWORD,13
1787,aTRLomJYZFr7Bjjytw2r9l,EN,"You, your family and your friends (generative)","Make six sentences about yourself, your family and your friends. - I / My brother / sister / mum / dad / friend / My friends - (not) go to (not) like (not) have (not) watch (not) play (not) get up early - the park, the shops, … - cats, dogs, spiders, … - a garden, plants in my room, … - films and videos about animals computer games, football, … - every weekend at the weekend every day …",,,[],['None'],,,"['""I go to / I don’t go to My brother likes / doesn’t like My friends play … . / They don’t … . My mum watches films about animals in the evening. My dad doesn’t play football. My friend doesn’t get up early at the weekend.""']",SENTENCE,80
1789,av9b3rxRXso5KGnZUBoxFI,IT,IT_L_SA_Test7_Q2,"Scrivete la risposta corretta.Nel processo di sviluppo individuale si distinguono diverse fasi. Dopo aver fissato gli obiettivi di sviluppo, mettiamo in atto:",,"{'id': 4809, 'name': '18. Ricerca sullo sviluppo', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],SENTENCE,22
1790,6v8Gtx17lEb5QTV4ngyLLU,DE,DE_L_LT_Test5_Q3 (Copy),"Formuliere deine Antwort in mehreren Stichworten oder in einem Satz.In Herzbergs Zwei-Faktoren-Theorie können Motivationsfaktoren die Motivation und die Leistung steigern, wenn sie gegeben sind.Hygienefaktoren hingegen haben langfristig keinen nennenswerten Einfluss auf das Engagement der Mitarbeiter.Was nützt es also, diese Faktoren zu verbessern?","Herzbergs Zwei-Faktoren-Theorie
Zu der Zeit, als Maslow seine Theorien zur Bedürfnisbefriedigung entwickelte, versuchte Frederick Herzberg (1923-2000), die Situationen zu identifizieren, die im Arbeitsumfeld Zufriedenheit oder Frustration hervorrufen, indem er verschiedene Personen befragte:
- Was sind die Gründe für die von den Mitarbeitern empfundene Zufriedenheit oder Unzufriedenheit?
- Welche Auswirkungen haben die beschriebenen Situationen auf ihre Leistungsbereitschaft?
- Wie lange hielten diese Auswirkungen an?
Die Ergebnisse sind überraschend: Die Gründe für Zufriedenheit oder Unzufriedenheit und die Auswirkungen sind vielfältiger als erwartet. Zufriedenheitsbedingungen haben einen langfristigen Einfluss auf die Leistung, während Unzufriedenheitsfaktoren keinen oder nur einen geringen Einfluss auf die Leistungsbereitschaft haben.Aus den Ergebnissen seiner Befragungen leitet Herzberg ab, dass die Qualität und die Wirkung der verschiedenen Anreize, die mit einer bestimmten Arbeit verbunden sind, unterschiedlich sind. Er unterscheidet zwischen Motivationsfaktoren (""satisfiers"") und Hygienefaktoren (""dissatisfiers"").


Motivationsfaktoren
Motivationsfaktoren werden unter anderem durch die folgenden intrinsischen Anreize beeinflusst:
- Körperliche Aktivität: Aktiv sein können, sich bewegen.
- Soziale Kontakte: Für andere da sein, im Team arbeiten, mit vereinten Kräften Ziele erreichen.
- Leistungsbereitschaft: Wissen und Können einsetzen, erfolgreich sein, Herausforderungen annehmen und die eigenen Grenzen austesten.
- Einfluss und Verantwortung: Selbstständig arbeiten, an Entscheidungen mitwirken und mitbestimmen.
- Selbstverwirklichung: Bringen Sie nicht nur Ihr Wissen und Können, sondern auch Ihren Enthusiasmus und Ihre besonderen Talente in den Dienst Ihres Arbeitgebers.


Die Hygienefaktoren werden unter anderem durch die folgenden extrinsischen Anreize beeinflusst:
- Geld: materieller Lebensunterhalt, Luxus, bequemes Leben.
- Sicherheit: Aufrechterhaltung eines bestimmten Lebensstandards, ausreichende Ressourcen, um Notsituationen zu überstehen, Vermeidung von Verlusten.
- Anerkennung: Ein gewisses Ansehen genießen, einen bestimmten Status erreichen, Privilegien genießen, wertgeschätzt werden.


Beispiel: Sarah, die als Chemikerin mit Begeisterung an einem ehrgeizigen internationalen Forschungsprojekt arbeitet, sieht darin eine einmalige Gelegenheit, ihre Fachkenntnisse zu nutzen und zu erweitern, und Gregory wechselt die Stelle, um mehr Mitarbeiter zu führen und sich in eine gute Position zu bringen, um sich um ein Mandat als stellvertretender Direktor zu bewerben.


Umfragen haben gezeigt, dass Zufriedenheit und Unzufriedenheit nicht von denselben Faktoren abhängen, sondern zwei unabhängige Dimensionen sind. Aus diesem Grund spricht man von einer ""Zwei-Faktoren-Theorie"".


 Motivationsfaktoren 
Hygienefaktoren
Erklärung Motivationsfaktoren haben einen positiven Einfluss auf die Arbeitszufriedenheit und die Leistungsbereitschaft. In diesem Sinne bestimmen sie also den Zustand der Zufriedenheit oder Unzufriedenheit der Mitarbeiter und ermöglichen es, ihre Motivation und Leistung zu steigern. Hygienefaktoren führen zu Unzufriedenheit, wenn sie nicht vorhanden sind, haben aber ansonsten keinen nennenswerten und langfristigen Einfluss auf das Engagement der Mitarbeiter. Eine Verbesserung dieser Faktoren führt somit in erster Linie zu einer Verringerung der Unzufriedenheit.
Beispiele - Persönliche Leistung
- Anerkennung der geleisteten Arbeit
- Art der Arbeit, Aufgaben
- Verantwortung
- Aufstiegs- und Entwicklungsmöglichkeiten - Führungsstil
- Unternehmenspolitik und -kultur
- Beziehungen zu den Kollegen
- Arbeitsbedingungen
- Sicherheit des Arbeitsplatzes
- Vergütung
Zusätzliche Informationen Da sich die Motivationsfaktoren hauptsächlich auf die Art der Arbeit beziehen, spricht man auch von Inhaltsvariablen. Da die Hygienefaktoren Bedingungen des Arbeitsumfelds (und nicht der Arbeit selbst) darstellen, spricht man auch von Kontextvariablen.","{'id': 5381, 'name': '7. Angemessener Einsatz von Führungsinstrumenten', 'description': '', 'displayedOnDashboard': False}",[],[''],,,[''],KEYWORD,42
1791,4yj2a9ERjfw7C1Qjb6WuA5,DE,Praet_regelm_L4_Ue01 (Copy),Schreibe den Satz im Präteritum. Gestern - erzählen - ich - eine Geschichte.,,,[],['Gestern erzählte ich eine Geschichte.'],,,[''],SENTENCE,13
1792,aPrh8fBnanQ92GaBYNLbQD,DE,DE_L_LT_EVAL1_Q18,"Formuliere deine Antwort mithilfe eines Stichworts.Die Zusammenstellung eines Teams und seine Organisation sind das Ergebnis ständiger Arbeit.Es wird angenommen, dass vier Faktoren für eine erfolgreiche Teamarbeit erfüllt sein müssen, damit die Dinge gut funktionieren.Erstens: Schaffung günstiger Rahmenbedingungen: Strategie, Kultur. Zweitens: Zuteilung sinnvoller Aufgaben in Form von Gruppen- oder Einzelarbeit. Die persönliche Bereitschaft zur Teamarbeit ist der dritte grundlegende Punkt, der das ""Ich"" repräsentiert.Zum Schluss gibt es noch einen letzten Punkt, der besonders wichtig zu schaffen und zu pflegen ist und der zum ""Zusammenleben und -arbeiten"" gehört: das ""Wir"". Was ist das?",,"{'id': 5377, 'name': '3. Die eigene Rolle als Führungskraft an die Gruppe adaptieren', 'description': '', 'displayedOnDashboard': False}",[],[''],,,[''],KEYWORD,91
1793,adC5aF8g6Qp7wTvr7agsea,IT,IT_L_LT_EVAL2_Q16,"Formula la tua risposta usando una o più parole chiave. La valutazione dei collaboratori e delle loro prestazioni è uno degli elementi fondamentali del ruolo manageriale.  Pensiamo di essere sempre obiettivi e concreti, ma siamo pur sempre esseri umani... quindi siamo sempre portati a dare la nostra opinione su tutto e su tutti, spesso in modo distorto. Spesso conduciamo colloqui di valutazione soggettivi a causa di alcuni pregiudizi.Per fare un esempio, l'effetto umore è un pregiudizio causato dal fatto che, a seconda che siamo di buon o cattivo umore, la nostra valutazione del dipendente sarà buona o cattiva... a seconda del nostro umore.Ci faccia un esempio di pregiudizio o di valutazione soggettiva.",,"{'id': 5403, 'name': '12. Valuta le prestazioni', 'description': '', 'displayedOnDashboard': False}",[],[''],,,[''],KEYWORD,112
1794,4Pkqpn2i66A66Zo5Vpmepf,EN,School words,Who can you see in the photos?,"  The café mystery Luke is in the kitchen with his trainers on. Sherlock runs to Luke with his lead. “Woof ! Ark! Ark!” His lead falls on the floor. “Park? Clever dog, Sherlock! OK, let’s go!” says Luke. In the park they play football. Sherlock loves his football and does a lot of cool tricks! After two hours Luke is hungry and they go to the park café. There they see the woman from the café with a police officer, and the woman is very upset! Mrs Abrihim Come and look! Every day there’s food all over the floor! Please do something! Police officer Yes, Mrs Abrihim, we’ll find the burglar … Mrs Abrihim But what does the burglar want? There’s no money missing! Police officer Hmmm … Well, who doesn’t like your café? Mrs Abrihim No idea! But I lock the café when I go. How do they get in here? It’s crazy! “Yes, it’s crazy,” says Luke. “Hey, Sherlock. Let’s help. Maybe we can solve the mystery!” Luke looks around the café Sherlock has his nose to the floor and looks around too. Then Sherlock runs to Luke. And he has something – a clue, maybe? It’s small and white and like wool. Then there’s a noise - and a nut falls from a hole in the ceiling. Luke Who’s up there? … Mrs Abrihim! Do you have a ladder? Mrs Abrihim Yes, in the kitchen. Police officer OK, now … let’s see what the problem is … It’s … raccoons? Yes, … racoons! ",,[],[],,,"['"" I can see Elliot. His school uniform is blue and grey. The weather is nice. I can see Mr Turner. He’s a science teacher. I can see Mrs Bashir. She’s an English teacher. Mrs Warren is the caretaker. There are three students: Elliot and his friends Josh and Harry. ""']",SENTENCE,7
1795,MeWfnN21TD5MlRoHkOAH4,EN,A person from Henry’s family,Choose a person from Henry’s family. Write at least five sentences about Henry from this person’s perspective.,"  The café mystery Luke is in the kitchen with his trainers on. Sherlock runs to Luke with his lead. “Woof ! Ark! Ark!” His lead falls on the floor. “Park? Clever dog, Sherlock! OK, let’s go!” says Luke. In the park they play football. Sherlock loves his football and does a lot of cool tricks! After two hours Luke is hungry and they go to the park café. There they see the woman from the café with a police officer, and the woman is very upset! Mrs Abrihim Come and look! Every day there’s food all over the floor! Please do something! Police officer Yes, Mrs Abrihim, we’ll find the burglar … Mrs Abrihim But what does the burglar want? There’s no money missing! Police officer Hmmm … Well, who doesn’t like your café? Mrs Abrihim No idea! But I lock the café when I go. How do they get in here? It’s crazy! “Yes, it’s crazy,” says Luke. “Hey, Sherlock. Let’s help. Maybe we can solve the mystery!” Luke looks around the café Sherlock has his nose to the floor and looks around too. Then Sherlock runs to Luke. And he has something – a clue, maybe? It’s small and white and like wool. Then there’s a noise - and a nut falls from a hole in the ceiling. Luke Who’s up there? … Mrs Abrihim! Do you have a ladder? Mrs Abrihim Yes, in the kitchen. Police officer OK, now … let’s see what the problem is … It’s … raccoons? Yes, … racoons!   A cat’s life Henry here, nice to meet you. I live with Lilly Harper, her brother Jack and their mum and dad in a nice house. I like my house. There are a lot of places where I can sleep. My favourite place is my big bed. Lilly says it’s her bed, but it isn’t her bed. It’s MY bed. The family also like my sofa in the living room in the evening. The Harpers feed me and clean the litter tray for me every day. I get very upset when 1 they forget! But they’re not bad. When I want to play, they play with me and stroke 2 me. That’s “purr-fect” 3 . During the day I often sleep because I must be fit for the night. It’s nearly dark. Garden time! I like to watch birds there. So I meow 4 loudly, and Lilly opens the door. She’s good at opening doors for me. Uh-oh, there’s the neighbour’s dog. He’s in my garden again! I get angry, very angry. I growl 5 and make myself VERY BIG. We fight, and the fur flies 6 . He runs away. I always win! Silly dog! Ohh, what’s this? I can smell fish from across the road 7 . I love it! I find a piece of fish near the bins. The extra food is yummy! And it’s always time for food. Food … good idea. It’s 5:30 in the morning, and I’m tired and hungry. I meow loudly until one of the Harpers opens the door. They feed me and stroke me again. Where can I sleep today? ___ 1 when – wenn, falls ; 2 to stroke – streicheln ; 3 purr-fect – Wortspiel: to purr (schnurren), perfect (perfekt) ; 4 to meow – miauen ; 5 to growl – knurren ; 6 the fur flies – die Fetzen fliegen ; 7 road – die Straße ",,[],[],,,"['"" I’m Lilly. I have a cat. His name is Henry. We feed him and we often play with him. His favourite place is my bed, and he likes our sofa. He likes fish. He doesn’t like our neighbour’s dog. ""']",SENTENCE,17
1796,54yk3CYjufq5DW3Jm89h4k,EN,Mediation,Du möchtest einer englischen Klasse im Videochat etwas über deinen letzten Ausflug erzählen. Dazu hast du dir Notizen gemacht. Gib sie auf Englisch wieder. Meine Familie und ich besuchten einen großen Rummel in meiner Stadt. Er ist ein riesiges Gelände am Fluss Neckar. Es waren so viele Leute dort! Deshalb haben wir unseren Hund auch nicht mitgenommen. Die Achterbahnen waren großartig. Wir sind aber nicht mit allen gefahren. Es hat wirklich Spaß gemacht!,"  The café mystery Luke is in the kitchen with his trainers on. Sherlock runs to Luke with his lead. “Woof ! Ark! Ark!” His lead falls on the floor. “Park? Clever dog, Sherlock! OK, let’s go!” says Luke. In the park they play football. Sherlock loves his football and does a lot of cool tricks! After two hours Luke is hungry and they go to the park café. There they see the woman from the café with a police officer, and the woman is very upset! Mrs Abrihim Come and look! Every day there’s food all over the floor! Please do something! Police officer Yes, Mrs Abrihim, we’ll find the burglar … Mrs Abrihim But what does the burglar want? There’s no money missing! Police officer Hmmm … Well, who doesn’t like your café? Mrs Abrihim No idea! But I lock the café when I go. How do they get in here? It’s crazy! “Yes, it’s crazy,” says Luke. “Hey, Sherlock. Let’s help. Maybe we can solve the mystery!” Luke looks around the café Sherlock has his nose to the floor and looks around too. Then Sherlock runs to Luke. And he has something – a clue, maybe? It’s small and white and like wool. Then there’s a noise - and a nut falls from a hole in the ceiling. Luke Who’s up there? … Mrs Abrihim! Do you have a ladder? Mrs Abrihim Yes, in the kitchen. Police officer OK, now … let’s see what the problem is … It’s … raccoons? Yes, … racoons!   A cat’s life Henry here, nice to meet you. I live with Lilly Harper, her brother Jack and their mum and dad in a nice house. I like my house. There are a lot of places where I can sleep. My favourite place is my big bed. Lilly says it’s her bed, but it isn’t her bed. It’s MY bed. The family also like my sofa in the living room in the evening. The Harpers feed me and clean the litter tray for me every day. I get very upset when 1 they forget! But they’re not bad. When I want to play, they play with me and stroke 2 me. That’s “purr-fect” 3 . During the day I often sleep because I must be fit for the night. It’s nearly dark. Garden time! I like to watch birds there. So I meow 4 loudly, and Lilly opens the door. She’s good at opening doors for me. Uh-oh, there’s the neighbour’s dog. He’s in my garden again! I get angry, very angry. I growl 5 and make myself VERY BIG. We fight, and the fur flies 6 . He runs away. I always win! Silly dog! Ohh, what’s this? I can smell fish from across the road 7 . I love it! I find a piece of fish near the bins. The extra food is yummy! And it’s always time for food. Food … good idea. It’s 5:30 in the morning, and I’m tired and hungry. I meow loudly until one of the Harpers opens the door. They feed me and stroke me again. Where can I sleep today? ___ 1 when – wenn, falls ; 2 to stroke – streicheln ; 3 purr-fect – Wortspiel: to purr (schnurren), perfect (perfekt) ; 4 to meow – miauen ; 5 to growl – knurren ; 6 the fur flies – die Fetzen fliegen ; 7 road – die Straße ",,[],[],,,"['"" My family and I visited a big fairground in my town. This is a huge area on the Neckar (a river). There were a lot of people! That\'s why we didn\'t take our dog with us. The roller coasters were great. But we didn\'t go on all of them. It was really fun! ""']",SENTENCE,73
1797,9ICsRwwXXpanhqgOPZCFs,EN,Informiere deine Eltern über das Greenwich Summer Festival.,"Deine Eltern möchten zum Greenwich Summer Festival gehen. Du hast dich darüber schon im Internet informiert und erklärst ihnen, …   was man dort essen kann.","  The café mystery Luke is in the kitchen with his trainers on. Sherlock runs to Luke with his lead. “Woof ! Ark! Ark!” His lead falls on the floor. “Park? Clever dog, Sherlock! OK, let’s go!” says Luke. In the park they play football. Sherlock loves his football and does a lot of cool tricks! After two hours Luke is hungry and they go to the park café. There they see the woman from the café with a police officer, and the woman is very upset! Mrs Abrihim Come and look! Every day there’s food all over the floor! Please do something! Police officer Yes, Mrs Abrihim, we’ll find the burglar … Mrs Abrihim But what does the burglar want? There’s no money missing! Police officer Hmmm … Well, who doesn’t like your café? Mrs Abrihim No idea! But I lock the café when I go. How do they get in here? It’s crazy! “Yes, it’s crazy,” says Luke. “Hey, Sherlock. Let’s help. Maybe we can solve the mystery!” Luke looks around the café Sherlock has his nose to the floor and looks around too. Then Sherlock runs to Luke. And he has something – a clue, maybe? It’s small and white and like wool. Then there’s a noise - and a nut falls from a hole in the ceiling. Luke Who’s up there? … Mrs Abrihim! Do you have a ladder? Mrs Abrihim Yes, in the kitchen. Police officer OK, now … let’s see what the problem is … It’s … raccoons? Yes, … racoons!   A cat’s life Henry here, nice to meet you. I live with Lilly Harper, her brother Jack and their mum and dad in a nice house. I like my house. There are a lot of places where I can sleep. My favourite place is my big bed. Lilly says it’s her bed, but it isn’t her bed. It’s MY bed. The family also like my sofa in the living room in the evening. The Harpers feed me and clean the litter tray for me every day. I get very upset when 1 they forget! But they’re not bad. When I want to play, they play with me and stroke 2 me. That’s “purr-fect” 3 . During the day I often sleep because I must be fit for the night. It’s nearly dark. Garden time! I like to watch birds there. So I meow 4 loudly, and Lilly opens the door. She’s good at opening doors for me. Uh-oh, there’s the neighbour’s dog. He’s in my garden again! I get angry, very angry. I growl 5 and make myself VERY BIG. We fight, and the fur flies 6 . He runs away. I always win! Silly dog! Ohh, what’s this? I can smell fish from across the road 7 . I love it! I find a piece of fish near the bins. The extra food is yummy! And it’s always time for food. Food … good idea. It’s 5:30 in the morning, and I’m tired and hungry. I meow loudly until one of the Harpers opens the door. They feed me and stroke me again. Where can I sleep today? ___ 1 when – wenn, falls ; 2 to stroke – streicheln ; 3 purr-fect – Wortspiel: to purr (schnurren), perfect (perfekt) ; 4 to meow – miauen ; 5 to growl – knurren ; 6 the fur flies – die Fetzen fliegen ; 7 road – die Straße   Greenwich Summer Festival Greenwich Summer Festival takes place every year in July or August. It’s in the park near the Naval College. It is free for everyone. There are two music stages. Rock bands play on one stage. On the other stage an orchestra plays classical music. If you like theatre, go to the big tent where you can see plays and circus shows. In the evening you can watch movies on the big screen. Hungry? Try the food at the street stalls. There are sausages, burgers, salads and lots more! ",,[],[],,,"['"" Man kann Würstchen, Hamburger, Salate und vieles mehr essen. ""']",SENTENCE,25
1798,5RgWDkX4GUE9DSDmogH1iF,EN,( Your turn ) My holidays,Write about your holidays. Then tell the class about them.   Example: My holidays were great | OK | awful | boring | ... . I went to Bavaria | went to ... | was at home | ... with my family | friends | ... . The weather was sunny | windy | cold | ... . We went swimming | visited ... | saw ... | bought ... | ... and played tennis | ate ... | ... . That was exciting | cool | awful | boring | ... . I took photos for my friends | saw ... | ate ... | played football | ... .,,,[],[],,,"['"" ""']",SENTENCE,110
1799,6djKwYzu2uLasWvaYgKLGX,EN,What happened next in the story?,What happened next in the story? Write five or six sentences. Useful words: his bedroom | play the game | high score | talk to Gwen | ...,"  A lucky day for Luke It was after school. Luke and Gwen were on the bus. “Dad said we can get a takeaway pizza tonight,” said Gwen. “I love tuna pizza. What’s your favourite pizza, Luke?” Luke didn’t answer. “Did you hear me?” asked Gwen. “Sorry. I’m playing this game on my phone,” said Luke. “I have a really high score. Look!” “I can’t see that,” said Gwen. “Sorry. I forgot you have a problem with your eyes,” said Luke. “You forgot Dave’s birthday. You forgot your homework. You forget everything,” said Gwen. “No, I don’t,” said Luke. He looked out of the window. “Oh no! This is my stop. I forgot where we are! Bye Gwen, see you tomorrow.” Luke rushed down the stairs and got off the bus. He wanted to finish his game. He put his hand in his pocket, but his phone wasn’t there! “Oh no, I must have forgotten it on the bus!” He looked up. But the bus wasn’t there any more. Luke went home and phoned the bus company. They wanted to help but first they needed a special number from his phone – and he didn’t know the number! Luke didn’t enjoy his dinner at all that night. Why wasn’t he more careful with his phone? Suddenly the doorbell rang. “Gwen’s here!” shouted Luke’s mum from the hall. Luke went to the door. Gwen and her dad were there. “I heard something fall on the floor when you got off the bus,” said Gwen. “I asked a woman to see what it was.” Gwen gave Luke his phone. “Wow!” said Luke. “Today is my lucky day! Thanks, Gwen.” “That’s what friends are for!” said Gwen. “Come on, Gwen. Let’s get that pizza!” said Gwen’s dad. Luke put his phone in his pocket. It really was his lucky day. Maybe he could get his best ever high score too. ",,[],[],,,"['"" Luke was very happy. He went to his bedroom and played his favourite game. He got a really high score. He wrote a text message to Gwen: “Hi Gwen! Thanks again for the mobile! I got a really high score. It’s my lucky day! See you at school, Luke.” ""']",SENTENCE,28
1800,aLwFy3GUOol7l1biGDMTSH,EN,( Writing ) Write a message to Joe.,"Write a message to Joe. Say what you find good about his blog. You can also ask questions. Help: Congratulations! | … sounds interesting. | I tried your recipe … | I don’t know how to … | Can you give me a tip, please?","  A lucky day for Luke It was after school. Luke and Gwen were on the bus. “Dad said we can get a takeaway pizza tonight,” said Gwen. “I love tuna pizza. What’s your favourite pizza, Luke?” Luke didn’t answer. “Did you hear me?” asked Gwen. “Sorry. I’m playing this game on my phone,” said Luke. “I have a really high score. Look!” “I can’t see that,” said Gwen. “Sorry. I forgot you have a problem with your eyes,” said Luke. “You forgot Dave’s birthday. You forgot your homework. You forget everything,” said Gwen. “No, I don’t,” said Luke. He looked out of the window. “Oh no! This is my stop. I forgot where we are! Bye Gwen, see you tomorrow.” Luke rushed down the stairs and got off the bus. He wanted to finish his game. He put his hand in his pocket, but his phone wasn’t there! “Oh no, I must have forgotten it on the bus!” He looked up. But the bus wasn’t there any more. Luke went home and phoned the bus company. They wanted to help but first they needed a special number from his phone – and he didn’t know the number! Luke didn’t enjoy his dinner at all that night. Why wasn’t he more careful with his phone? Suddenly the doorbell rang. “Gwen’s here!” shouted Luke’s mum from the hall. Luke went to the door. Gwen and her dad were there. “I heard something fall on the floor when you got off the bus,” said Gwen. “I asked a woman to see what it was.” Gwen gave Luke his phone. “Wow!” said Luke. “Today is my lucky day! Thanks, Gwen.” “That’s what friends are for!” said Gwen. “Come on, Gwen. Let’s get that pizza!” said Gwen’s dad. Luke put his phone in his pocket. It really was his lucky day. Maybe he could get his best ever high score too.   How I won a prize The TV show ‘Teen chef of the year’ tries to find the UK’s best young chef. Twenty-four kids took part in the competition this year. They cooked lots of different meals for the judges – three chefs. The kids also answered many questions about food. At the end of the competition one kid was the winner – and that kid was me! My name is Joe Reedman. My entry form for the show: Entry form: Teen chef of the year Age: ‬13 Favourite food: scrambled eggs Favourite meal: breakfast Why I started: When I was six, I watched my mum in the kitchen. She was making a cake. The eggs, milk and flour became a delicious cake and it was like magic. I wanted to do magic cooking too! Ambition: to have my own restaurant ",,[],[],,,"['"" Hello Joe, Congratulations! I read your blog and I really liked it. I’m 13 years old and I also enjoy cooking. But most children at my school think this is a hobby for girls. I’d like to take part in the next competition. Have you got any tips for me? Bye, Jake PS: I’ve tried your recipe with parmesan. That’s yummy too. ""']",SENTENCE,45
1801,6sPY9w0jSwl6cynhL17bQW,EN,An answer to Nisha’s email,"Answer Nisha’s email. Help: Hi, Thank you for your email. I was … I … Bye, (your name) Hi, I’m back from my holiday. It was nice! We went to Durham to visit my grandparents. My grandpa had a big party because it was his 70th birthday. He really loved my birthday cake. My favourite cousin wasn’t there. He didn’t get a plane ticket. We were all very sad. We didn’t do a lot outside. The weather was awful. But the party was nice. Where were you in the summer holidays? What did or didn’t you do? Did you visit a nice place? How was it? See you later, Nisha","  A lucky day for Luke It was after school. Luke and Gwen were on the bus. “Dad said we can get a takeaway pizza tonight,” said Gwen. “I love tuna pizza. What’s your favourite pizza, Luke?” Luke didn’t answer. “Did you hear me?” asked Gwen. “Sorry. I’m playing this game on my phone,” said Luke. “I have a really high score. Look!” “I can’t see that,” said Gwen. “Sorry. I forgot you have a problem with your eyes,” said Luke. “You forgot Dave’s birthday. You forgot your homework. You forget everything,” said Gwen. “No, I don’t,” said Luke. He looked out of the window. “Oh no! This is my stop. I forgot where we are! Bye Gwen, see you tomorrow.” Luke rushed down the stairs and got off the bus. He wanted to finish his game. He put his hand in his pocket, but his phone wasn’t there! “Oh no, I must have forgotten it on the bus!” He looked up. But the bus wasn’t there any more. Luke went home and phoned the bus company. They wanted to help but first they needed a special number from his phone – and he didn’t know the number! Luke didn’t enjoy his dinner at all that night. Why wasn’t he more careful with his phone? Suddenly the doorbell rang. “Gwen’s here!” shouted Luke’s mum from the hall. Luke went to the door. Gwen and her dad were there. “I heard something fall on the floor when you got off the bus,” said Gwen. “I asked a woman to see what it was.” Gwen gave Luke his phone. “Wow!” said Luke. “Today is my lucky day! Thanks, Gwen.” “That’s what friends are for!” said Gwen. “Come on, Gwen. Let’s get that pizza!” said Gwen’s dad. Luke put his phone in his pocket. It really was his lucky day. Maybe he could get his best ever high score too.   How I won a prize The TV show ‘Teen chef of the year’ tries to find the UK’s best young chef. Twenty-four kids took part in the competition this year. They cooked lots of different meals for the judges – three chefs. The kids also answered many questions about food. At the end of the competition one kid was the winner – and that kid was me! My name is Joe Reedman. My entry form for the show: Entry form: Teen chef of the year Age: ‬13 Favourite food: scrambled eggs Favourite meal: breakfast Why I started: When I was six, I watched my mum in the kitchen. She was making a cake. The eggs, milk and flour became a delicious cake and it was like magic. I wanted to do magic cooking too! Ambition: to have my own restaurant ",,[],[],,,"['"" Hi, Thank you for your email. I was in Poland in the summer holidays. I was there with my family. We were at the sea. I ate a lot of fish. I love fish! We didn’t go to a museum. We only went to the beach. I really liked swimming in the sea. It was great. Bye, Katrina ""']",SENTENCE,110
