taskId,language,description,topic_id,word_count,sentence_count
1382,1oofeqGDvMD9NxDJTxbdLP,EN,translat follow sentenc english boy eat appl,,7,1
1383,2a02FWbN3fo6HVXX7RXAax,EN,translat follow sentenc english bitmark hackathon simpli awesom,,8,1
1384,870VWoRALxZahUqPFQEgSJ,EN,translat thirsti english,,3,2
1387,8DGf8udouc8aLKZudMyk1F,EN,translat follow sentenc english boy eat appl,,7,1
1388,3CLiDdktFuUaxVJHPcB0Wf,EN,translat follow sentenc english boy eat appl,,7,1
1389,3Vwo0y1qB4w8SD4EVuEp2s,EN,translat follow sentenc english boy eat appl,,7,1
1390,9rCKEPSSaOp7G7DlM1pJJX,EN,write hear english,,3,1
1391,7n1zXhsIUrp9zbrQsaWSTb,EN,translat sentenc order dinner,,4,1
1392,2rATYMv4oi86OVHf70vB81,EN,write hear english,,3,1
1393,4JjY5lxI6DN7ZZQBea6vYe,EN,write hear english,,3,1
1394,18nxa5Mkihza9KiLzl60Lj,EN,translat sentenc author nice style,,5,1
1395,2BcrQMrzGkP7BqrNIaHvmR,EN,write hear english,,3,1
1396,7tGByzBuieXa5neEFykxw9,EN,write hear english,,3,1
1397,1z4E89TgHSz9UGddtnQxBs,EN,write hear english,,3,1
1398,2eEIscvJrK48V6xWfPg0lI,EN,translat sentenc fairli riski profess,,5,1
1399,3xR2maFYzzK92jtQFpftV9,EN,write hear english,,3,1
1400,50ukobAkVAD6skno4tMJ48,EN,translat sentenc offic nearbi,,4,1
1401,8jzjALdq9Pk7Pjc1yRfqgc,EN,write hear english,,3,1
1402,6C3hIShVtFc5y9q53aK8HB,EN,write hear english,,3,1
1403,5l7rPyzlok49AGNoIzQLTc,EN,write hear english,,3,1
1404,9QJBSYMcO6R8FBEtCaDoPi,EN,translat sentenc captain control whole ship,,6,1
1405,5qMAkLb47xJ8LmJqOqfkQl,EN,write hear english,,3,1
1406,3Ni8KNyirNHa6J5UY0fwDj,EN,translat sentenc dentist,,3,1
1407,9p3ySDQHqFg6c3SqwKxw8Q,EN,write hear english,,3,1
1408,9qdlTZc3IOH5OhXWdy5DVp,EN,translat sentenc chang,,3,1
1409,5peSXa7DKne6fGU2Go6xuQ,EN,write hear english,,3,1
1410,9qAdYATcooU9jAKRthtRnL,EN,translat sentenc limit languag mean limit world,,7,1
1411,8gMM2RMhYDq7fGOLvf43Qf,EN,write hear english,,3,1
1412,aGs8timT8jB77tim2PSXfi,EN,translat sentenc pray japan,,4,1
1413,3v4yM9Ls5rH9cV7qFLr3OW,EN,write hear english,,3,1
1414,6hZWVvDdlsw8IRkKNcLf7W,EN,translat sentenc stay home tomorrow,,5,1
1415,1DPXFYgk223a3wx9vuFh1E,EN,write hear english,,3,1
1416,4mBFymZpomf9VGsE7A37VX,EN,translat sentenc think everyth,,4,1
1417,xgLGuVI9ke88RDCSGYqri,EN,write hear english,,3,1
1418,7GQAFt6TAcHaTpOMPoN511,EN,translat sentenc parent expect much,,5,1
1419,2Pp6X7DHo2w7GTXy5deqIj,EN,write hear english,,3,1
1420,2qVe1xOLm7r7u20NFxyIig,EN,translat sentenc bird fli,,4,1
1421,36VyTcSJqNwaNV3GowI3KY,EN,write hear english,,3,1
1422,6Dtyx35vs7L8Rhv0QRWeqw,EN,translat sentenc christian believ jesu christ,,6,1
1423,8kTAnxIcDaw70lG8CmjxlJ,EN,write hear english,,3,1
1424,6bTyn069lmn7Wk4GuqrIXr,EN,translat sentenc carrot cost dollar,,5,1
1425,3ia9DbCueeG7sJ2R5PH8GA,EN,write hear english,,3,1
1426,8LRv23QYIil6uRa6NnjHDI,EN,translat sentenc fish live sea,,5,1
1427,8U6CTZh4FP46cWirE6JYbw,EN,write hear english,,3,1
1428,aGCau04yq9vaI295VcWVWy,EN,translat sentenc rule appli foreign,,5,1
1429,auVRwPrkr4r7hFv6VJWL3i,EN,write hear english,,3,1
1430,2r5bZQDgLje8dFi9VGz3HA,EN,translat sentenc large brother,,4,1
1431,5kXqjCoQ8Cf6N6w8Sz6H2c,EN,write hear english,,3,1
1432,9Pgg0EH9cqJ91Gz3x1OpSp,EN,translat sentenc young peopl speak almost russian anymor,,8,1
1433,3vZkbLAnQyE7xmvm7flAaL,EN,write hear english,,3,1
1434,2N0TX5Davwu64oQBpueJLi,EN,translat sentenc long wear glass,,5,1
1435,5OaLH2akFXm7BfHnNyE5Dh,EN,write hear english,,3,1
1436,1Rap5L1Fksq8PngQ349sEn,EN,translat sentenc earn twice much,,5,1
1437,3frlfiu2omu9MDbWflCF7u,EN,write hear english,,3,1
1438,aqeEnb0njSqahJfm6okTXL,EN,translat sentenc understand,,3,1
1439,4C2lLdteqFlaR6AlQrVavF,EN,write hear english,,3,1
1440,9zLvNMpU03F9jO6pQcQrwC,EN,translat sentenc flower grow warm countri,,6,1
1441,a9JGrf1UsJq5xmTt7KSWJW,EN,write hear english,,3,1
1442,3I8zTxp4joS9OJAdYGNAWm,EN,translat sentenc want work metro,,5,1
1443,2UydCH4H06a2By3OAF9uZ,EN,write hear english,,3,1
1444,16xcc0TbvVB9omhygR1xCj,EN,translat sentenc pay card,,4,1
1445,35ZDBxjESUe6G2cNVXYRmt,EN,write hear english,,3,1
1446,aY8cxgbXpXy7WoQdHMstpj,EN,translat sentenc noth dinner,,4,1
1447,5mrUmSZ1oMv6mwy55PijC3,EN,write hear english,,3,1
1448,5Zxs9pMMC7a7Y8WXNzpmrl,EN,translat sentenc want dinner,,4,1
1449,5tZjmhEUhf5814zD2yF0Qv,EN,write hear english,,3,1
1450,41ByccZilFQ5YkiANrER8q,EN,translat sentenc current dinner,,4,1
1451,9SdUCxmLVa08aoZl7GYxab,EN,write hear english,,3,1
1452,1cNIJ2zqUmEanTrcoMfXnz,EN,write hear english,,3,1
1453,2MFDue9qIWG7VryMKoM6Sy,EN,translat sentenc drink alcohol,,4,1
1454,9aou4DbXhgR9EIapsw3UH2,EN,write hear english,,3,1
1455,7b6EMME5VxiaCEFifjPcs1,EN,write hear english,,3,1
1456,ucOBtxkZU87ZJOpioLOMD,EN,translat sentenc aver alcohol,,4,1
1457,a27DhsJobHN7B2Weokm9OF,EN,write hear english,,3,1
1458,7bpj0A6OQX08cG63HKRukv,EN,translat sentenc eat appl,,4,1
1459,7XMHvB04uiy5L90zxyfjoJ,EN,write hear english,,3,1
1460,7hVkkQbu91q9vZtnreIHxB,EN,translat sentenc appl desk,,4,1
1461,63uygWbwGTL6DN0sDKyPPl,EN,write hear english,,3,1
1462,9L2DPQihowm6jTMzjBi8PG,EN,translat sentenc appl tast,,4,1
1463,6J0dM4IDurz8VMOHbXtZwl,EN,write hear english,,3,1
1464,5yuZLytnry1a4sB8y2Aw1q,EN,translat sentenc eat banana,,4,1
1465,2J9ppfq58SL6GBlx4NlsC2,EN,write hear english,,3,1
1466,1DzH233jIxu73FV9oh5Plo,EN,translat sentenc eat banana,,4,1
1467,2H2XH1bXuKpaoEGKIMbV80,EN,write hear english,,3,1
1468,4c0NyyWA9M371lNjiJ8lxO,EN,translat sentenc tree,,3,1
1469,aujtOP7Uy4c7rptw5R9kjM,EN,write hear english,,3,1
1470,576yT4CMT9x9BAqqjHLAq7,EN,translat sentenc plant tree,,4,1
1471,8MZSZthHxvj9xDZF8uDo0q,EN,write hear english,,3,1
1472,5b67U1YWuyj8LnILOyK7MI,EN,translat sentenc pick appl tree,,5,1
1473,40GBNa5KiTs7guxsazeQqP,EN,write hear english,,3,1
1474,6QwPzeZOCVV7PUThUnuWub,EN,translat sentenc prefer beer wine,,5,1
1475,3BryO9JGr7dab6wjrRzPoU,EN,write hear english,,3,1
1476,60GW9j7TQHZ6CJK2xDmBmL,EN,translat sentenc french bread tast good,,6,1
1477,39ptbblkEGX75GKgEo1QgM,EN,write hear english,,3,1
1478,FHSOGiJQOq8VbBNfCmetN,EN,translat sentenc still buy bread,,5,1
1479,8fkpNr7DXvC5XJLbdTEGo8,EN,write hear english,,3,1
1480,3qjQXviUSlo9MQel0h0Zhx,EN,translat sentenc eat bread,,4,1
1481,6XnDcg23g2F5MDL24seRwW,EN,write hear english,,3,1
1482,6wc73J555iU6PIBnO6BLRy,EN,translat sentenc diet lose weight,,5,1
1483,490Kfcp7jndaqgEl8GtJOR,EN,write hear english,,3,1
1484,1O8yCNmy16xnBE4BWT66,EN,translat sentenc hold diet,,4,1
1485,2xlWYpCQJIi69NhIgTCIqN,EN,write hear english,,3,1
1486,5XvF8lxKprK7aGFvYvFmBP,EN,translat sentenc diet,,3,1
1487,1uHV2ppc1H3a2jSMLa3R07,EN,write hear english,,3,1
1488,41UcyHdLXH1aN3O9nWvAom,EN,translat sentenc current diet,,4,1
1489,1xIoApFdfqI6cKWQu8Ej08,EN,write hear english,,3,1
1490,2SmU2SslVD89pUWjETbJyg,EN,translat sentenc eat egg,,4,1
1491,azILttSEneA9tNHFl5x8Uq,EN,write hear english,,3,1
1492,3khI7qFdxni8Pdsc2aZoSJ,EN,translat sentenc eat cook egg everi day breakfast,,8,1
1493,3ASN93VBjEJ8eV8FchwuIs,EN,write hear english,,3,1
1494,41jdal63ST36LQ5ylStDZy,EN,translat sentenc cook egg,,4,1
1495,9CnIoJmoQm48s3eLzhsCiJ,EN,write hear english,,3,1
1496,aP1ajNPEucl90GxMnthhJC,EN,translat sentenc first chicken egg,,5,1
1497,1QY6CkGWchB5vK4C8ldfEB,EN,write hear english,,3,1
1498,9a9NKzaSYyf9TVHso09nri,EN,translat sentenc want meat,,4,1
1499,8BrSML1KQOl7Cmm4tEA2lk,EN,write hear english,,3,1
1500,EK4KKTkrd2aBIfWyNZi1Y,EN,translat sentenc eat meat,,4,1
1501,axf1bKHmgsK654AolAtC1u,EN,write hear english,,3,1
1502,4dff78bzt8R60FxdO5Y6Nh,EN,translat sentenc eat red meat,,5,1
1503,a1VYRrh6XNT7Lv7hw2pXSQ,EN,write hear english,,3,1
1504,42yfv1ipMPO9oDfqnGs5gK,EN,translat sentenc meat fish,,4,1
1505,301OdQXw3QM8bDQzabxVZd,EN,write hear english,,3,1
1506,7LMRzk2AIQb6ZR4NGNrZrB,EN,translat sentenc eat breakfast,,4,1
1507,4uB4p9WfU2uasodupEw911,EN,write hear english,,3,1
1508,5wYovvDQuhZ9vFb4XoThlg,EN,translat sentenc eat veget,,4,1
1509,8PiCJbkImIU5AnaE83WtoX,EN,write hear english,,3,1
1510,41AgfBmfEeC685D4yspT0m,EN,translat sentenc drink coffe without sugar,,6,1
1511,5otocHjLUt89C4hui9XegN,EN,write hear english,,3,1
1512,6HQoASZy6b7dsHrvQFsDr,EN,translat sentenc love offer guest coffe,,6,1
1513,lsvSc3C9fs80qQTuE4lSl,EN,write hear english,,3,1
1514,7gIDvWH588l7B38aBJlYnd,EN,translat sentenc drink coffe,,4,1
1515,aIKfeUQZ4o9ahqdXxYvpB6,EN,write hear english,,3,1
1516,aFXIk2YdxOp9FOZIPShiQ5,EN,translat sentenc good cook,,4,1
1517,3ZZgURLFeNJ6rDozMRMx64,EN,write hear english,,3,1
1518,97mJJZCTHy59NwNc25aUAq,EN,translat sentenc learn cook,,4,1
1519,vyGccffQ1l6T7byfiuJUX,EN,write hear english,,3,1
1520,3QPOeR2NFwZ8UF1aZNCIy7,EN,translat sentenc cook,,3,1
1521,4IZbcbzrUd35xn5FfRQG8B,EN,write hear english,,3,1
1522,67d6GGvf5qDad2jIxlHazL,EN,translat sentenc daughter can not cook,,6,1
1523,8mfzFS7Fyoc7cVBTmXh2mw,EN,write hear english,,3,1
1524,6kEkIX5CHwtaH7hylPWMs6,EN,translat sentenc can not cook,,5,1
1525,4rhRjbIvmmA7z8kW0HrINo,EN,write hear english,,3,1
1526,15lJTTd7ChCah9fCEQs7Sk,EN,translat sentenc teach cook,,4,1
1527,5xTDdFYpkASa2z2SK5WrfK,EN,write hear english,,3,1
1528,9FDg6wxMjmc8PvFBSDy9R9,EN,translat sentenc onion cook fast potato,,6,1
1529,7CLG11re88haYXDZMTBEdz,EN,write hear english,,3,1
1530,1KRjV62IvV69ORMG1QwKXJ,EN,translat sentenc put spoon away take fork,,7,1
1531,6bW3VPh6me0ahQNLC8jHCs,EN,write hear english,,3,1
1532,4fQPwTu6gcy8EYkU3UnTd3,EN,translat sentenc buy lot flour oil,,6,1
1533,8etB4ZErzA7E22cSVnRH9,EN,write hear english,,3,1
1534,7YWFOkFGe3G7NaKfLe5K55,EN,translat sentenc lubric bike oil,,5,1
1535,jHWSTOVmHO7h3ufQNL6E3,EN,write hear english,,3,1
1536,37JMdmzgZj78jEV7EiqelI,EN,translat sentenc tire work,,4,1
1537,J4RGLz3ARU8riA09XGn6b,EN,write hear english,,3,1
1538,4niyzvsJYS1aWXXNQKhEXR,EN,translat sentenc must complet work four clock,,7,1
1539,7I5MDbeK2yO5DWMsI6WH7i,EN,write hear english,,3,1
1540,3Fe4q9U76A56oJZi5zqnHP,EN,translat sentenc continu work,,4,1
1541,52fFWzWVMfYah7elUdyQyn,EN,write hear english,,3,1
1542,1k7nmPYraCw79cUhaks5V3,EN,translat sentenc drive work car,,5,1
1543,aukVKseucld9Q7aYmFbRJz,EN,write hear english,,3,1
1544,7tLStIOvbJw7YOU0ZFxDV3,EN,translat sentenc work never stop,,5,1
1545,5FDQ2Tvo3oq613AaeV9Qoi,EN,write hear english,,3,1
1546,89tZQWSK5ij5PQ5eRGLDZn,EN,translat sentenc work,,3,1
1547,2aklbCVDAzy7Pc0MTU4btS,EN,write hear english,,3,1
1548,mV4QADocTt9f3Yg8nGkkT,EN,translat sentenc person work,,4,1
1549,7xI7TVabRhk7fPM0VvqkIy,EN,write hear english,,3,1
1550,1InasFAGZAVaPpFoR3WU6f,EN,translat sentenc want work factori,,5,1
1551,2rokvPyeNqm9lGplchr0ns,EN,write hear english,,3,1
1552,4atw6Z3rODd96OZ0emzhds,EN,translat sentenc pretend work,,4,1
1553,a0lWi3fv26l86ruT62DrKo,EN,write hear english,,3,1
1554,9Eo96xKGbKb8b8q3uQroYL,EN,translat sentenc work,,3,1
1555,89t415dvXIR9VoPvmxpfuZ,EN,write hear english,,3,1
1556,8ENWTrHFVin6BsnWiNx1Uy,EN,translat sentenc doctor,,3,1
1557,6FADgat8zlj7sf0LXShynl,EN,write hear english,,3,1
1558,1U3PcacMcyR6yz8iQUhEKX,EN,translat sentenc abl easili solv task,,6,1
1559,YWzHek8cjq9y1nEAUyVIu,EN,write hear english,,3,1
1560,1ZeDiqkNkYA8cJ70FVlH7G,EN,translat sentenc bank,,3,1
1561,4vI2ZlFuGSF94BhW6EaFob,EN,write hear english,,3,1
1562,2wKTIhP5qRf9SLmmcggFe4,EN,translat sentenc work bank,,4,1
1563,2eg0vqMrmxT6E1fYevATJ5,EN,write hear english,,3,1
1564,3NzjJ1Ureq68iBW2VbQTIA,EN,translat sentenc grow rice,,4,1
1565,29bJPJXGpkP7uacsKdHWhJ,EN,write hear english,,3,1
1566,KHyQDuF2fn5VUppQfejlR,EN,translat sentenc build wall,,4,1
1567,6FdUmuzT2Vt8BleAU48whA,EN,write hear english,,3,1
1568,6zdKh9B1HQX7usSq95bwBL,EN,translat sentenc profess,,3,1
1569,8yyPBaHaArU7o1v442a3AP,EN,write hear english,,3,1
1570,631RzraO4JS8OkU4w0LI2z,EN,translat sentenc mother work larg offic,,6,1
1571,15xqvqostzM7lsRgLmQ9h6,EN,write hear english,,3,1
1572,ZvAcym7xaN98kSaEHIJo8,EN,translat sentenc work secretari offic,,5,1
1573,4ZeQOwIaymH6wxorEiGRg4,EN,write hear english,,3,1
1574,9GeG42FG4zA9ZBvEFCgOXt,EN,translat sentenc offic,,3,1
1575,anjpDjXODkJ6eJjD3EY5UN,EN,write hear english,,3,1
1576,1RfHgflxIm07xPAlYCzZp8,EN,translat sentenc know comput,,4,1
1577,7xCf8zdL45c9fipgKbtBDA,EN,write hear english,,3,1
1578,4LPmO49Lg2y6BDpqBTzXiC,EN,translat sentenc experi good teacher,,5,1
1579,6qTayVH1NbkaIlWvdya1yW,EN,write hear english,,3,1
1580,qhhGMybR3Q88W49h49GcH,EN,translat sentenc experi good teacher,,5,1
1581,aGIpH414qGX6h1NVUVLS99,EN,write hear english,,3,1
1582,7VTCPEeBUKD6bYzU2It4PD,EN,translat sentenc experi,,3,1
1583,6erNypDLgQa8hPjSVMPSlJ,EN,write hear english,,3,1
1584,9scHqMrjxpH8rfeIV8Mxy4,EN,translat sentenc polit experi,,4,1
1585,5s46b8aC5Hg7MOJRdopOpQ,EN,write hear english,,3,1
1586,2K2JIfi0HCz8qOlwHxq3UL,EN,translat sentenc success fruit hard work,,6,1
1587,7Gzm18BJMmO75MZFPHUlFE,EN,write hear english,,3,1
1588,66xM6rGM7TF7nQiGx93RXp,EN,translat sentenc envi success,,4,1
1589,9Q6B5alJXpiagLKyUgeXwY,EN,write hear english,,3,1
1590,557e3FGh2pD5RMGRSOGRpJ,EN,translat sentenc salari twice high seven year ago,,8,1
1591,7gmmr007ZSEaLGGuf1IdBo,EN,write hear english,,3,1
1592,4saJwiBNU6q9yn6dgd9y9I,EN,translat sentenc constantli complain low wage,,6,1
1593,3Z1BwNBE2zN90epISYUhz5,EN,write hear english,,3,1
1594,3XbMKf1WFVlaM9KdJ5ZmaK,EN,translat sentenc georg captain team,,5,1
1595,yiGCKiEL2N8GwzXrKgHoz,EN,write hear english,,3,1
1596,4HIuh80HceV8IQe6rM2iQm,EN,translat sentenc improv qualiti,,4,1
1597,48NGfdcWPlz6WT2PLSEbF4,EN,write hear english,,3,1
1598,NJNzzKHkwv91C9PnozWo1,EN,translat sentenc alreadi find work,,5,1
1599,5D82phxLTyoa7RpAb9fdLB,EN,write hear english,,3,1
1600,2Ksz1zmcCJV7p2Bs8RJubu,EN,translat sentenc reject posit,,4,1
1601,8HwxxHzGwtx64r32OdfJox,EN,write hear english,,3,1
1602,469AxYb44PCaauPuBKkyn5,EN,translat sentenc clever dentist,,4,1
1603,20Wv9gHaeOp80kmHjNogs6,EN,write hear english,,3,1
1604,6yj31QbCnTU8SFcjGRgQ8r,EN,translat sentenc dentist,,3,1
1605,9rIFpw6Cdd3971matmOsgt,EN,write hear english,,3,1
1606,4YIuymajtCq6JlVQc2olk4,EN,translat sentenc scienc,,3,1
1607,2QkmBB3YvxU6LgLCuoBdXl,EN,write hear english,,3,1
1608,Ugmxg7qAyy8PpAfIk744g,EN,translat sentenc scienc mathemat,,4,1
1609,7hlxHdGudIT6hvZlwNEkib,EN,write hear english,,3,1
1610,7xu2y0fyMWX6CYGZf5DFKm,EN,translat sentenc scienc base extrem care observ,,7,1
1611,9uunjOyHQJp5ylIEWlCriR,EN,write hear english,,3,1
1612,6SMJx5LzkdRaa8beRO2I8P,EN,translat sentenc scienc base observ,,5,1
1613,1hKkNsR3MPtaIgK1Vjva6x,EN,write hear english,,3,1
1614,9SlNZSiBMJJ6ifKBMAuSnY,EN,translat sentenc time chang,,4,1
1615,1rsd2tbs20zajDk4SF6Yuu,EN,write hear english,,3,1
1616,atTXuD50M4w61WJvk3bCB8,EN,translat sentenc chang attitud,,4,1
1617,2h0pS65Zjgl90pdyxy2gpS,EN,write hear english,,3,1
1618,8YFRER8UV216rVYUfRr2xL,EN,translat sentenc mayb price chang,,5,1
1619,4ljtqMywkzY7jjC6Bwd9DX,EN,write hear english,,3,1
1620,7q3VmXbCBJr7C4oDxUwiJs,EN,translat sentenc sentenc basic mean everyth,,6,1
1621,5nXQDhVIOr26RvlRMk01zb,EN,write hear english,,3,1
1622,7AdMNmXcaEp7fpdwwxFJd9,EN,translat sentenc mean,,3,1
1623,9MrboymGEBTa2NAJnFtEly,EN,write hear english,,3,1
1624,3527HW425iH8iLtp7Hoass,EN,translat sentenc plan stay hotel,,5,1
1625,6bWQYuhO2Dy8cS9wa0C33w,EN,write hear english,,3,1
1626,4CdXcgYIYUi7DdtdcXErIN,EN,translat sentenc need stay,,4,1
1627,9MobGAxLEl9OqisySUZNU,EN,write hear english,,3,1
1628,9yqkw8iiYgh9rVQQXTDN3u,EN,translat sentenc long stay,,4,1
1629,1txZOMAhoqI5VjWzGY3EwI,EN,write hear english,,3,1
1630,aA6rgd7xtUX7UgKLBiuiYF,EN,translat sentenc think much,,4,1
1631,4IPm5DVbndx7VaQg0tZodv,EN,write hear english,,3,1
1632,am13yjDnMyZ9MCm1WQTIH3,EN,translat sentenc expect we,,4,1
1633,8r0rAVasQzM8QvWscf6ZJM,EN,write hear english,,3,1
1634,cjdMzThbAs7N2hCtGYLNE,EN,translat sentenc swallow fli sky,,5,1
1635,NTd8vnUk0VavHuZVM07XP,EN,write hear english,,3,1
1636,770YSwmalyU9nHyBpxuj7I,EN,translat sentenc pig can not fli,,6,1
1637,9VUszTSOXcB8yETmbFjvPD,EN,write hear english,,3,1
1638,7S2WBDtAZzq9PUkfUbDyJG,EN,translat sentenc hard believ,,4,1
1639,9Z94XtS16Rr9avPs2n5OMb,EN,write hear english,,3,1
1640,8HiWtPKNzEdaPAbazWPJDC,EN,translat sentenc believ god,,4,1
1641,2PegBtPXQ9U5vkiIgGiyof,EN,write hear english,,3,1
1642,7huAUlUOoli7CcXLjRnAWH,EN,translat sentenc believ miracl,,4,1
1643,5fK8a2wiaap5Kgm1jhzoSX,EN,write hear english,,3,1
1644,7WQnVtdcxM29M5g9AZ6ZPW,EN,translat sentenc believ god,,4,1
1645,29wN6u6UNCE8fU7ozKYVZN,EN,write hear english,,3,1
1646,4NQv5ftBsUg7lMtWtLxh6o,EN,translat sentenc ye much cost,,5,1
1647,2khw35lKWbv9BuQpqDZVuB,EN,write hear english,,3,1
1648,1uFekPKy4VsajAqYjLCI3y,EN,translat sentenc live without air,,5,1
1649,2KZSSpb4uGH9w9LbTJiUYd,EN,write hear english,,3,1
1650,4IFW4D7lkTZ6LuegMTYWE8,EN,translat sentenc life denmark penguin,,5,1
1651,9qXYav5cgzw9KgPruvAlX2,EN,write hear english,,3,1
1652,3QcacrJxlTl6CWMqDItLSI,EN,translat sentenc kitten rule world,,5,1
1653,9Hao1kKnzsc9FpbECdTH1Q,EN,write hear english,,3,1
1654,aLs8ZVFtW708Ujj36IMDaZ,EN,translat sentenc speak,,3,1
1655,5dykdJ0qry1aM9Jzj6vJf1,EN,write hear english,,3,1
1656,4nczwhomd0d9lhZDvvfcu8,EN,translat sentenc toshio speak english well,,6,1
1657,1vWIrL5FL9A7euj54Hn9on,EN,write hear english,,3,1
1658,2Bi2oK1Qj7f9J4jAY9c6L1,EN,translat sentenc mani peopl speak languag,,6,1
1659,6VHL5M14xrm8ulS2Dt2q57,EN,write hear english,,3,1
1660,7SWpdhViwDf9W5nu4a5bfl,EN,translat sentenc cat wear collar,,5,1
1661,7kXeZlZGvcT5xXWiDIXYNm,EN,write hear english,,3,1
1662,aoUUQaQ8S9da5uUWLwRX1S,EN,translat sentenc long need wear glass,,6,1
1663,aUu7LFzt9ES6aopjDa8bQc,EN,write hear english,,3,1
1664,7TPHu9elNpL8yPKAajtmj2,EN,translat sentenc earn hundr euro day,,6,1
1665,aOz7cmIMjvJaiLDcUAO15i,EN,write hear english,,3,1
1666,oEnJFwVIJk95vQuUJUYHW,EN,translat sentenc woman earn less man,,6,1
1667,34dypfvMvegaCA5dzRqIk1,EN,write hear english,,3,1
1668,6gZTRjjKDNR8FGExRASuda,EN,translat sentenc earn money religion,,5,1
1669,8dNsGca4tLW8qlRQOCQwbJ,EN,write hear english,,3,1
1670,8jNVPpAHU6v5AaDVBlrnVi,EN,translat sentenc understand,,3,1
1671,4iWPszcaVm76QgWdLFd2v1,EN,write hear english,,3,1
1672,U6TQc0vuyq6FWHMXJqdfW,EN,translat sentenc could understand,,4,1
1673,2WcOWcyKPOV6hBaVz1TlHX,EN,write hear english,,3,1
1674,aBjl8FoRlIMa1Xyx9Jyj03,EN,translat sentenc understand english,,4,1
1675,4EiQOjxgyfN9ZDVIpaVKcs,EN,write hear english,,3,1
1676,5Cw8PLUpiFJ5LOVYkUqlaf,EN,translat sentenc flower grow warm countri,,6,1
1677,42FTGgv3AZO5E3ESVyUeRD,EN,write hear english,,3,1
1678,9ZjiNghOyiV97NsvhEMd5A,EN,translat sentenc want learn english,,5,1
1679,5B33T5IWToW8XcoQ9HGKx2,EN,write hear english,,3,1
1680,6IUS4oNLBvA5yUHGwhUvWy,EN,translat sentenc pay check,,4,1
1681,3zbxDUoJVuh8Rptc9NhUqT,EN,battl waterloo,,2,1
1682,4vji1aRS0588Bd9QAgwuow,EN,task flirt bot,,3,1
1684,aAk14uhGibt7xiZ78wFhtZ,EN,task detect bullshit,,3,1
1685,9ZrKp7cJzKOa3wdTsWJJSZ,EN,task detect help difficult,,4,1
1686,1aguJBiSWv89V7fICXsnQD,EN,task detect finish earli,,4,1
1687,C58gcaiXIj95mU6JMbhwA,EN,task detect later skip,,4,1
1688,4gt0xrzcJPu7q6gwyOAbOA,EN,task detect theori,,3,1
1689,962mrGcNQwF7ZT6a7qTJPy,EN,translat sentenc countri rich oil,,5,1
1691,aPugswFNhph7cT4RrMxTLX,EN,translat sentenc order dinner,,4,1
1692,69pW5sd6XrT7Yr5loOjqEv,EN,translat sentenc hor run quickli,,5,1
1693,8bGDmVMDiGB8i5ZHt3NR8D,EN,translat sentenc dri skin,,4,1
1694,6QnTw6oPdAW6fA7KYM2fSp,EN,translat sentenc advis well,,4,1
1695,asNTC1gQ0lp5SopMOUsNx6,EN,translat sentenc tell truth,,4,1
1696,61Tm1IZkPhU6QNmtQzZg7i,EN,translat sentenc memor poem,,4,1
1697,6zPjTy833D59aZzLDIbWZm,EN,translat sentenc salt substanc,,4,1
1698,5yVETHAkrRQ5ADDwWx4r1j,EN,translat sentenc tri,,3,1
1699,4QRtOjeYvWS6fhs5kl8ofv,EN,translat sentenc could continu journey due lack money,,8,1
1700,3shcVxthlCc7FpmeJtGC8d,EN,translat sentenc awar fact,,4,1
1701,a4TZZEMj0yP76JMqTbIxsM,EN,translat sentenc alway want argu,,5,1
1702,WL290N1lf4aBWPeHFGaEV,EN,translat sentenc patient,,3,1
1703,1s7xqIc7WxpaX8FYMbsOmC,EN,translat sentenc live osaka age,,5,1
1704,4mUkoFtYwGs84XEFZXgaPO,EN,translat sentenc decor classroom,,4,1
1705,QnEwgmeR9m7t1Tk5CCChT,EN,translat sentenc afraid lose,,4,1
1706,3ygJZUwraxV9k7b0jDSspx,EN,translat sentenc usual wear jean,,5,1
1707,5lE1tvB97br7DJ9NBMytqL,EN,translat sentenc hot summer year,,5,1
1708,8ClzgedmNba8Ze6XXEeZD6,EN,translat sentenc next sunday concert,,5,1
1709,7cqOdwOFL4baRRW4DqmUzL,EN,translat sentenc fairli riski profess,,5,1
1710,1km9hCN41BV62khkURH6ZC,EN,translat sentenc decis,,3,1
1711,42YSgeuy2xraEXSdwpNuwd,EN,translat sentenc river flow villag,,5,1
1712,8DALIA87DiAan3QoGCZ2ZK,EN,translat sentenc may borrow car,,5,1
1713,4UDdi3f7Xt36r6quhmVIvM,EN,translat sentenc health import money,,5,1
1714,aCo7Rp806Gz9P1TfuK3Ky1,EN,translat sentenc museum entranc,,4,1
1715,3gFOZvoaLM065EUUl3q011,EN,translat sentenc heart stop beat,,5,1
1716,2jjqWlkug3j7n22B5ueZXB,EN,translat sentenc babi well,,4,1
1717,4whAO1CCohZ6xOWlNVyGII,EN,translat sentenc order dinner,,4,1
1718,3sZuUnet3rd8KL4RWiW9rW,EN,translat sentenc snake devot frog,,5,1
1719,29vtz9z1QX9aIDwcL0KUq9,EN,translat sentenc boat,,3,1
1720,3bNGSZ4NEkL6IEqmIT7ulB,EN,translat sentenc can not ignor,,5,1
1721,987Y7jb0AP97AU67kopMry,EN,translat sentenc squirrel wear costum,,5,1
